filename , look_vec_x, look_vec_y, look_vec_z, pupil_size   , attention
1039.json, 0.5167    , 0.2228    , -0.8267   , 0.1417689    ,         0
104.json , -0.3533   , -0.1455   , -0.9241   , -0.01227006  ,         0
1040.json, -0.3503   , -0.3407   , -0.8725   , 0.02689635   ,         0
1041.json, -0.1492   , 0.5698    , -0.8081   , -0.06751981  ,         0
1042.json, 0.3473    , 0.3089    , -0.8854   , 0.2611308    ,         0
1043.json, 0.6428    , 0.4081    , -0.6483   , 0.4940348    ,         0
1044.json, 0.3922    , 0.1065    , -0.9137   , -0.3881986   ,         0
1045.json, 0.3043    , -0.5864   , -0.7507   , -0.118712    ,         0
1046.json, 0.4316    , -0.159    , -0.888    , 0.0660175    ,         0
1047.json, -0.6868   , -0.2429   , -0.685    , -0.04708107  ,         0
1048.json, 0.1845    , 0.1778    , -0.9666   , 0.05705421   ,         0
1049.json, -0.5383   , 0.1154    , -0.8348   , -0.00811877  ,         0
105.json , -0.6572   , 0.1263    , -0.743    , -0.3551824   ,         0
1050.json, 0.4729    , 0.2202    , -0.8531   , 0.3765897    ,         0
1051.json, -0.755    , 0.1157    , -0.6455   , 0.01969272   ,         0
1052.json, 0.1404    , 0.512     , -0.8474   , -0.5240216   ,         0
1053.json, 0.113     , 0.1149    , -0.9869   , -0.2237144   ,         1
1054.json, 0.3085    , -0.0872   , -0.9472   , 0.4008094    ,         0
1055.json, 0.3927    , -0.152    , -0.907    , -0.08432256  ,         0
1056.json, 0.091     , 0.1793    , -0.9796   , 0.08855737   ,         0
1057.json, -0.6639   , -0.1049   , -0.7404   , 0.01382877   ,         0
1058.json, -0.2169   , 0.1532    , -0.9641   , -0.1615181   ,         0
1059.json, -0.354    , 0.4585    , -0.8152   , 0.06005936   ,         0
106.json , -0.2926   , 0.0007    , -0.9562   , 0.008403065  ,         0
1060.json, -0.5333   , -0.2545   , -0.8067   , -0.1954512   ,         0
1061.json, 0.1789    , -0.5968   , -0.7822   , 0.06327555   ,         0
1062.json, 0.6858    , 0.0714    , -0.7242   , 0.06650703   ,         0
1063.json, -0.754    , 0.3138    , -0.5771   , -0.2209423   ,         0
1064.json, 0.0358    , -0.3275   , -0.9442   , 0.2381431    ,         0
1065.json, -0.8603   , -0.1695   , -0.4808   , 0.007429727  ,         0
1066.json, -0.8066   , 0.0079    , -0.591    , -0.311056    ,         0
1067.json, -0.094    , 0.3176    , -0.9435   , 0.3130899    ,         0
1068.json, 0.0771    , 0.3847    , -0.9198   , -0.05353539  ,         0
1069.json, 0.0364    , -0.3525   , -0.9351   , -0.1709342   ,         0
107.json , -0.6775   , -0.425    , -0.6004   , -0.05458395  ,         0
1070.json, 0.6249    , 0.2979    , -0.7216   , 0.1160991    ,         0
1071.json, 0.0645    , 0.1056    , -0.9923   , 0.2125205    ,         1
1072.json, 0.3624    , 0.3112    , -0.8786   , -0.2415597   ,         0
1073.json, -0.3692   , -0.0482   , -0.9281   , -0.05863297  ,         0
1074.json, -0.2125   , 0.267     , -0.94     , 0.05064128   ,         0
1075.json, 0.4692    , -0.4374   , -0.7672   , -0.198161    ,         0
1076.json, -0.5263   , -0.6626   , -0.5329   , 0.3933756    ,         0
1077.json, -0.049    , 0.49      , -0.8703   , 0.129916     ,         0
1078.json, 0.5175    , -0.3245   , -0.7917   , 0.009491386  ,         0
1079.json, -0.6227   , 0.397     , -0.6742   , 0.1159882    ,         0
108.json , 0.0302    , -0.1208   , -0.9922   , -0.2693009   ,         1
1080.json, 0.3473    , 0.1007    , -0.9323   , 0.06932557   ,         0
1081.json, 0.6231    , -0.1028   , -0.7754   , -0.09747461  ,         0
1082.json, 0.7453    , -0.2808   , -0.6048   , -0.01407733  ,         0
1083.json, -0.0543   , -0.6069   , -0.7929   , 0.07607083   ,         0
1084.json, 0.2176    , 0.7459    , -0.6296   , -0.04727556  ,         0
1085.json, 0.0887    , -0.0025   , -0.9961   , -0.1595404   ,         1
1086.json, 0.0264    , -0.3922   , -0.9195   , 0.05156265   ,         0
1087.json, 0.0805    , 0.3198    , -0.9441   , 0.03121634   ,         0
1088.json, 0.2685    , 0.4579    , -0.8475   , 0.07541853   ,         0
1089.json, -0.7846   , 0.2576    , -0.564    , -0.005064095 ,         0
109.json , -0.2552   , 0.7445    , -0.6169   , 0.05386253   ,         0
1090.json, 0.1811    , -0.3627   , -0.9141   , -0.1809827   ,         0
1091.json, 0.0233    , 0.078     , -0.9967   , 0.09382176   ,         1
1092.json, -0.0735   , 0.101     , -0.9922   , 0.2942289    ,         1
1093.json, -0.0075   , 0.3911    , -0.9203   , -0.3500946   ,         0
1094.json, -0.1085   , -0.0323   , -0.9936   , -0.1008507   ,         1
1095.json, 0.7574    , 0.4115    , -0.507    , -0.0815036   ,         0
1096.json, 0.0383    , 0.3538    , -0.9346   , 0.3092945    ,         0
1097.json, -0.5884   , -0.4193   , -0.6914   , 0.2175743    ,         0
1098.json, 0.4067    , -0.2849   , -0.868    , 0.2047328    ,         0
1099.json, -0.5926   , 0.1949    , -0.7816   , -0.2945424   ,         0
11.json  , 0.2335    , -0.206    , -0.9503   , -0.145806    ,         0
110.json , -0.3673   , -0.6118   , -0.7006   , -0.1604826   ,         0
1100.json, -0.5198   , 0.2704    , -0.8104   , -0.02372932  ,         0
1101.json, 0.2976    , -0.3299   , -0.8959   , -0.1463886   ,         0
1102.json, -0.4321   , 0.31      , -0.8469   , -0.09588929  ,         0
1103.json, -0.0671   , -0.2563   , -0.9643   , -0.1093782   ,         0
1104.json, 0.7679    , 0.2515    , -0.5892   , 0.04617355   ,         0
1105.json, -0.5845   , -0.0346   , -0.8107   , -0.1075113   ,         0
1106.json, 0.5835    , -0.0782   , -0.8083   , -0.2319242   ,         0
1107.json, -0.2552   , -0.309    , -0.9162   , -0.04989702  ,         0
1108.json, -0.0131   , 0.3962    , -0.9181   , 0.1184735    ,         0
1109.json, -0.6262   , 0.286     , -0.7253   , -0.07136299  ,         0
111.json , -0.1702   , 0.3196    , -0.9322   , 0.3376995    ,         0
1110.json, 0.0746    , 0.186     , -0.9797   , 0.08785872   ,         0
1111.json, -0.2342   , -0.4211   , -0.8763   , 0.2619914    ,         0
1112.json, -0.1326   , -0.0015   , -0.9912   , -0.06701718  ,         1
1113.json, -0.4504   , 0.102     , -0.887    , -0.1293911   ,         0
1114.json, -0.1951   , 0.3995    , -0.8957   , -0.07414784  ,         0
1115.json, -0.3258   , -0.2241   , -0.9185   , -0.01251442  ,         0
1116.json, -0.3699   , -0.2634   , -0.8909   , -0.1447435   ,         0
1117.json, 0.3417    , 0.2576    , -0.9038   , -0.07360039  ,         0
1118.json, -0.4217   , 0.2427    , -0.8736   , 0.3742962    ,         0
1119.json, 0.4904    , 0.2336    , -0.8396   , 0.3894216    ,         0
112.json , 0.1998    , -0.0185   , -0.9797   , 0.1796783    ,         0
1120.json, -0.2994   , 0.3247    , -0.8972   , -0.2768192   ,         0
1121.json, -0.4383   , -0.0099   , -0.8988   , -0.07485201  ,         0
1122.json, -0.2974   , 0.2011    , -0.9333   , 0.1786788    ,         0
1123.json, 0.086     , 0.2185    , -0.972    , -0.02734112  ,         0
1124.json, -0.0899   , -0.3029   , -0.9488   , -0.3382218   ,         0
1125.json, 0.6852    , 0.4149    , -0.5986   , -0.3218141   ,         0
1126.json, -0.5656   , -0.0965   , -0.819    , 0.2496919    ,         0
1127.json, 0.3759    , 0.389     , -0.8411   , -0.188647    ,         0
1128.json, 0.4335    , 0.4253    , -0.7945   , 0.4941571    ,         0
1129.json, 0.5037    , -0.4624   , -0.7297   , -0.1659674   ,         0
113.json , -0.6662   , 0.6014    , -0.441    , 0.2987239    ,         0
1130.json, -0.0149   , -0.0408   , -0.9991   , -0.02569921  ,         1
1131.json, 0.0663    , -0.1287   , -0.9895   , 0.1850762    ,         1
1132.json, 0.6164    , -0.2745   , -0.7381   , 0.05239754   ,         0
1133.json, 0.2099    , -0.5954   , -0.7755   , -0.02758469  ,         0
1134.json, 0.5846    , 0.4333    , -0.6859   , -0.01209109  ,         0
1135.json, 0.5279    , 0.1233    , -0.8403   , 0.1680308    ,         0
1136.json, 0.5013    , -0.3554   , -0.7889   , -0.03976491  ,         0
1137.json, 0.1015    , 0.0153    , -0.9947   , -0.08386224  ,         1
1138.json, 0.3336    , -0.5649   , -0.7548   , 0.305042     ,         0
1139.json, -0.5854   , 0.0893    , -0.8058   , -0.01840536  ,         0
114.json , -0.2901   , 0.0942    , -0.9523   , 0.08953239   ,         0
1140.json, -0.1604   , 0.2426    , -0.9568   , -0.2725952   ,         0
1141.json, -0.2079   , 0.2049    , -0.9565   , -0.2576708   ,         0
1142.json, 0.5642    , -0.4364   , -0.7009   , 0.2000876    ,         0
1143.json, 0.4559    , -0.0161   , -0.8899   , -0.1915846   ,         0
1144.json, -0.3215   , 0.0673    , -0.9445   , -0.2441643   ,         0
1145.json, 0.3415    , 0.1328    , -0.9305   , 0.1713847    ,         0
1146.json, -0.1011   , -0.3603   , -0.9273   , -0.002653162 ,         0
1147.json, -0.4527   , -0.2895   , -0.8434   , 0.2184408    ,         0
1148.json, 0.4762    , 0.0973    , -0.874    , -0.207664    ,         0
1149.json, 0.1567    , -0.1744   , -0.9721   , -0.02401762  ,         0
115.json , 0.1782    , 0.412     , -0.8936   , 0.1637093    ,         0
1150.json, 0.4996    , -0.6027   , -0.6222   , 0.02361284   ,         0
1151.json, -0.2859   , -0.2214   , -0.9323   , -0.2310133   ,         0
1152.json, -0.2652   , -0.3817   , -0.8854   , 0.2917253    ,         0
1153.json, 0.0617    , -0.3309   , -0.9416   , 0.1423074    ,         0
1154.json, -0.0267   , -0.6023   , -0.7978   , -0.07435124  ,         0
1155.json, 0.3486    , 0.2666    , -0.8986   , -0.09478785  ,         0
1156.json, -0.0819   , 0.2229    , -0.9714   , 0.04798053   ,         0
1157.json, 0.0803    , 0.3342    , -0.9391   , 0.09166044   ,         0
1158.json, 0.0352    , 0.438     , -0.8983   , 0.2108909    ,         0
1159.json, 0.0213    , -0.2043   , -0.9787   , 0.1973741    ,         0
116.json , -0.1682   , 0.3004    , -0.9389   , 0.1220904    ,         0
1160.json, 0.2527    , -0.1219   , -0.9598   , -0.2083255   ,         0
1161.json, 0.8526    , -0.0488   , -0.5202   , 0.1464973    ,         0
1162.json, -0.3554   , 0.3066    , -0.883    , 0.009487864  ,         0
1163.json, 0.2536    , -0.6583   , -0.7088   , 0.2517233    ,         0
1164.json, -0.2024   , 0.2081    , -0.9569   , 0.2371088    ,         0
1165.json, -0.2124   , -0.0325   , -0.9767   , -0.1760624   ,         0
1166.json, 0.8125    , -0.0577   , -0.5801   , -0.4326851   ,         0
1167.json, 0.6547    , -0.0304   , -0.7552   , 0.1578535    ,         0
1168.json, -0.0517   , -0.1149   , -0.992    , 0.2463037    ,         1
1169.json, -0.0894   , -0.1967   , -0.9764   , -0.02602139  ,         0
117.json , 0.5812    , 0.4411    , -0.6838   , -0.0908788   ,         0
1170.json, -0.5672   , -0.3854   , -0.7279   , 0.05055929   ,         0
1171.json, -0.2462   , -0.4127   , -0.877    , 0.1857929    ,         0
1172.json, -0.7934   , 0.4413    , -0.4192   , -0.1692081   ,         0
1173.json, -0.1985   , 0.3265    , -0.9241   , 0.005007867  ,         0
1174.json, -0.9035   , 0.2611    , -0.3398   , 0.04098608   ,         0
1175.json, -0.4158   , 0.0549    , -0.9078   , -0.310678    ,         0
1176.json, 0.184     , 0.1745    , -0.9673   , 0.05156003   ,         0
1177.json, 0.5016    , 0.2924    , -0.8142   , -0.008453773 ,         0
1178.json, -0.8715   , -0.2719   , -0.4081   , -0.287802    ,         0
1179.json, -0.3533   , -0.2665   , -0.8967   , -0.03470541  ,         0
118.json , 0.6733    , -0.3098   , -0.6713   , -0.07304873  ,         0
1180.json, 0.4155    , 0.0598    , -0.9076   , 0.1599623    ,         0
1181.json, -0.1038   , -0.2694   , -0.9574   , -0.154297    ,         0
1182.json, -0.1384   , -0.3868   , -0.9117   , 0.4743785    ,         0
1183.json, -0.7154   , 0.191     , -0.6721   , 0.02933289   ,         0
1184.json, -0.3697   , -0.3917   , -0.8426   , -0.3280857   ,         0
1185.json, 0.385     , 0.1639    , -0.9083   , -0.02146702  ,         0
1186.json, -0.1439   , 0.1036    , -0.9842   , -0.1603385   ,         1
1187.json, 0.4723    , 0.3143    , -0.8235   , 0.1809167    ,         0
1188.json, 0.089     , 0.4627    , -0.8821   , -0.04013272  ,         0
1189.json, -0.5773   , -0.2829   , -0.766    , 0.05890209   ,         0
119.json , 0.4009    , -0.4335   , -0.8071   , 0.06584185   ,         0
1190.json, -0.6046   , 0.208     , -0.7689   , -0.2546413   ,         0
1191.json, 0.2892    , -0.2586   , -0.9217   , 0.09389065   ,         0
1192.json, -0.1657   , -0.6634   , -0.7297   , 0.1029107    ,         0
1193.json, 0.3771    , -0.5224   , -0.7648   , -0.3205108   ,         0
1194.json, 0.4293    , 0.5066    , -0.7477   , -0.0794502   ,         0
1195.json, 0.0666    , -0.5321   , -0.8441   , 0.0373813    ,         0
1196.json, 0.5468    , 0.2789    , -0.7894   , 0.3004049    ,         0
1197.json, 0.2978    , -0.5273   , -0.7958   , 0.1309153    ,         0
1198.json, 0.1799    , -0.0657   , -0.9815   , 0.2154963    ,         1
1199.json, -0.2875   , -0.0771   , -0.9547   , 0.0006309091 ,         0
12.json  , -0.2088   , -0.1254   , -0.9699   , -0.04997268  ,         0
120.json , -0.1408   , -0.2132   , -0.9668   , -0.1302105   ,         0
1200.json, 0.2514    , 0.1096    , -0.9617   , -0.07015979  ,         0
1201.json, 0.5933    , -0.0376   , -0.8041   , -0.04847562  ,         0
1202.json, 0.0502    , -0.2009   , -0.9783   , -0.2106159   ,         0
1203.json, -0.5432   , 0.53      , -0.6512   , 0.1054178    ,         0
1204.json, -0.1074   , -0.1602   , -0.9812   , 0.08175094   ,         1
1205.json, -0.137    , -0.0614   , -0.9887   , -0.1135873   ,         1
1206.json, -0.2652   , -0.1639   , -0.9501   , -0.009151421 ,         0
1207.json, 0.4291    , -0.1603   , -0.8889   , -0.1857824   ,         0
1208.json, 0.46      , 0.0866    , -0.8837   , -0.1341813   ,         0
1209.json, 0.5045    , 0.2527    , -0.8256   , -0.08029081  ,         0
121.json , -0.2149   , -0.5952   , -0.7743   , 0.1180381    ,         0
1210.json, -0.5817   , -0.0442   , -0.8122   , 0.09881677   ,         0
1211.json, -0.0485   , -0.0003   , -0.9988   , 0.06768908   ,         1
1212.json, 0.5178    , -0.0618   , -0.8533   , -0.0341491   ,         0
1213.json, -0.0659   , -0.1305   , -0.9893   , -0.1673997   ,         1
1214.json, -0.8081   , -0.2465   , -0.5349   , -0.1337388   ,         0
1215.json, -0.0754   , -0.2691   , -0.9602   , -0.1266953   ,         0
1216.json, -0.7191   , -0.1582   , -0.6767   , 0.26852      ,         0
1217.json, -0.4274   , -0.1327   , -0.8943   , 0.09283736   ,         0
1218.json, 0.6375    , -0.089    , -0.7653   , -0.2711148   ,         0
1219.json, 0.6889    , -0.2909   , -0.664    , -0.03634303  ,         0
122.json , 0.3038    , -0.0856   , -0.9489   , 0.6526794    ,         0
1220.json, 0.6993    , 0.1128    , -0.7059   , 0.4330148    ,         0
1221.json, -0.1489   , 0.3063    , -0.9402   , -0.04980825  ,         0
1222.json, -0.5511   , 0.5167    , -0.6553   , 0.132097     ,         0
1223.json, -0.2494   , 0.0977    , -0.9635   , 0.03850271   ,         0
1224.json, 0.2886    , 0.1259    , -0.9491   , 0.2427624    ,         0
1225.json, 0.5581    , -0.3155   , -0.7674   , 0.1084595    ,         0
1226.json, 0.2824    , 0.0984    , -0.9542   , -0.03150713  ,         0
1227.json, 0.3244    , -0.2099   , -0.9223   , 0.07020961   ,         0
1228.json, -0.4141   , 0.1902    , -0.8902   , -0.1079877   ,         0
1229.json, -0.1252   , -0.4928   , -0.8611   , 0.04836356   ,         0
123.json , -0.0064   , 0.3818    , -0.9242   , -0.03144554  ,         0
1230.json, -0.6386   , -0.532    , -0.556    , 0.02386379   ,         0
1231.json, 0.8922    , 0.0335    , -0.4505   , -0.143516    ,         0
1232.json, 0.014     , -0.2675   , -0.9635   , 0.0168787    ,         0
1233.json, 0.5925    , -0.6435   , -0.4847   , -0.3208435   ,         0
1234.json, 0.8207    , 0.4483    , -0.3541   , -0.01362324  ,         0
1235.json, 0.4664    , -0.173    , -0.8675   , -0.03451454  ,         0
1236.json, 0.7121    , 0.4629    , -0.5278   , -0.2734388   ,         0
1237.json, 0.9094    , -0.0804   , -0.408    , 0.324783     ,         0
1238.json, -0.4467   , 0.4559    , -0.7698   , 0.1169805    ,         0
1239.json, 0.5624    , -0.4532   , -0.6916   , -0.2386911   ,         0
124.json , 0.1349    , 0.2641    , -0.955    , -0.1179509   ,         0
1240.json, 0.1143    , 0.2573    , -0.9596   , 0.03933136   ,         0
1241.json, 0.361     , 0.1387    , -0.9222   , 0.1618534    ,         0
1242.json, 0.1352    , 0.6017    , -0.7872   , -0.07275243  ,         0
1243.json, -0.2672   , -0.0127   , -0.9636   , 0.2759313    ,         0
1244.json, 0.3374    , -0.1393   , -0.931    , -0.3270242   ,         0
1245.json, 0.2657    , -0.5444   , -0.7956   , 0.3952125    ,         0
1246.json, 0.3158    , 0.0615    , -0.9468   , 0.6044946    ,         0
1247.json, 0.3997    , 0.5703    , -0.7176   , -0.3572141   ,         0
1248.json, -0.0348   , 0.0633    , -0.9974   , 0.07188512   ,         1
1249.json, 0.0758    , 0.5302    , -0.8445   , -0.5196009   ,         0
125.json , 0.4659    , -0.5213   , -0.715    , -0.3062629   ,         0
1250.json, 0.3197    , 0.0988    , -0.9423   , 0.1417232    ,         0
1251.json, 0.2076    , 0.0657    , -0.976    , 0.2901161    ,         0
1252.json, -0.1198   , -0.3617   , -0.9245   , 0.1821073    ,         0
1253.json, 0.0614    , 0.2627    , -0.9629   , -0.03602114  ,         0
1254.json, -0.5364   , -0.4741   , -0.6982   , -0.2400935   ,         0
1255.json, 0.0104    , -0.1487   , -0.9888   , 0.2041575    ,         1
1256.json, -0.3475   , -0.1643   , -0.9232   , -0.2611607   ,         0
1257.json, 0.2359    , 0.3465    , -0.9079   , -0.1087588   ,         0
1258.json, -0.3947   , -0.576    , -0.7159   , -0.1557862   ,         0
1259.json, -0.5202   , 0.0328    , -0.8534   , 0.1920727    ,         0
126.json , 0.3165    , -0.5011   , -0.8055   , 0.1559142    ,         0
1260.json, 0.3509    , 0.1077    , -0.9302   , 0.16896      ,         0
1261.json, 0.3026    , -0.2318   , -0.9245   , -0.2000068   ,         0
1262.json, -0.6156   , 0.2025    , -0.7616   , 0.04006287   ,         0
1263.json, 0.1577    , 0.006     , -0.9875   , 0.08123181   ,         1
1264.json, -0.279    , 0.3749    , -0.8841   , -0.3117037   ,         0
1265.json, 0.1998    , -0.5676   , -0.7987   , 0.2377789    ,         0
1266.json, -0.4274   , 0.4174    , -0.8019   , -0.7312673   ,         0
1267.json, -0.5075   , 0.1229    , -0.8529   , 0.2791935    ,         0
1268.json, 0.0487    , 0.6108    , -0.7903   , -0.2354186   ,         0
1269.json, 0.5551    , 0.0959    , -0.8263   , -0.2078356   ,         0
127.json , -0.5075   , 0.1414    , -0.85     , -0.2930883   ,         0
1270.json, 0.6917    , -0.4943   , -0.5265   , -0.2501599   ,         0
1271.json, -0.2075   , -0.0534   , -0.9768   , -0.4432028   ,         0
1272.json, -0.1334   , 0.4168    , -0.8992   , 0.4396747    ,         0
1273.json, 0.2049    , -0.3546   , -0.9123   , -0.03065639  ,         0
1274.json, -0.3292   , 0.2814    , -0.9013   , 0.07765608   ,         0
1275.json, -0.3993   , 0.2708    , -0.8759   , 0.2656441    ,         0
1276.json, -0.0837   , -0.1178   , -0.9895   , -0.01437866  ,         1
1277.json, 0.3032    , 0.4739    , -0.8267   , -0.03177021  ,         0
1278.json, 0.493     , -0.5307   , -0.6894   , -0.1043595   ,         0
1279.json, -0.8009   , -0.1107   , -0.5884   , -0.263664    ,         0
128.json , 0.6706    , 0.2809    , -0.6865   , -0.0224523   ,         0
1280.json, -0.2562   , 0.0971    , -0.9617   , 0.145481     ,         0
1281.json, -0.4093   , 0.3125    , -0.8572   , -0.05415986  ,         0
1282.json, -0.3194   , 0.5897    , -0.7418   , 0.1114509    ,         0
1283.json, -0.098    , 0.4481    , -0.8886   , -0.07165556  ,         0
1284.json, 0.2807    , -0.1788   , -0.943    , 0.007268569  ,         0
1285.json, 0.6071    , -0.2189   , -0.7639   , -0.1083596   ,         0
1286.json, -0.7321   , 0.1595    , -0.6623   , -0.1838442   ,         0
1287.json, 0.6176    , 0.1452    , -0.773    , 0.132792     ,         0
1288.json, -0.79     , 0.1702    , -0.5891   , 0.07141494   ,         0
1289.json, 0.1848    , 0.4573    , -0.8699   , -0.07685584  ,         0
129.json , -0.67     , -0.3697   , -0.6437   , 0.2607637    ,         0
1290.json, 0.5268    , 0.0219    , -0.8497   , -0.2151527   ,         0
1291.json, 0.7429    , 0.2486    , -0.6215   , -0.223472    ,         0
1292.json, 0.4957    , -0.3824   , -0.7798   , 0.1195395    ,         0
1293.json, -0.0426   , 0.4697    , -0.8818   , 0.2583401    ,         0
1294.json, -0.2398   , -0.053    , -0.9694   , 0.02646284   ,         0
1295.json, -0.6407   , 0.3121    , -0.7015   , 0.2668767    ,         0
1296.json, -0.403    , -0.586    , -0.703    , -0.01079756  ,         0
1297.json, 0.3498    , 0.4484    , -0.8225   , 0.1758332    ,         0
1298.json, 0.0195    , 0.4462    , -0.8947   , 0.268047     ,         0
1299.json, 0.2682    , 0.1239    , -0.9554   , -0.2487203   ,         0
13.json  , 0.6768    , 0.1169    , -0.7269   , -0.2398652   ,         0
130.json , 0.1681    , -0.4879   , -0.8566   , -0.2068874   ,         0
1300.json, -0.5945   , 0.2846    , -0.752    , 0.08741217   ,         0
1301.json, -0.0941   , 0.0114    , -0.9955   , 0.02025704   ,         1
1302.json, -0.0098   , 0.2746    , -0.9615   , -0.02478973  ,         0
1303.json, -0.7417   , -0.4521   , -0.4955   , -0.04652756  ,         0
1304.json, -0.2053   , -0.3702   , -0.906    , -0.01685916  ,         0
1305.json, 0.1371    , 0.2833    , -0.9492   , -0.113293    ,         0
1306.json, 0.6673    , 0.2569    , -0.6991   , 0.3262254    ,         0
1307.json, -0.5327   , 0.3251    , -0.7814   , 0.3075888    ,         0
1308.json, 0.4607    , -0.2004   , -0.8646   , 0.09184076   ,         0
1309.json, -0.252    , 0.4816    , -0.8394   , -0.0757219   ,         0
131.json , -0.0772   , -0.3267   , -0.942    , -0.05796308  ,         0
1310.json, 0.6617    , -0.4018   , -0.6331   , -0.3111044   ,         0
1311.json, -0.2711   , -0.3797   , -0.8845   , -0.05540757  ,         0
1312.json, 0.2243    , 0.4006    , -0.8884   , -0.09586559  ,         0
1313.json, 0.6425    , 0.3826    , -0.664    , 0.04355396   ,         0
1314.json, 0.1408    , 0.4018    , -0.9048   , -0.06912996  ,         0
1315.json, 0.0569    , -0.331    , -0.9419   , -0.2661465   ,         0
1316.json, 0.0498    , -0.2899   , -0.9558   , 0.2119291    ,         0
1317.json, 0.1121    , -0.4557   , -0.8831   , 0.4033772    ,         0
1318.json, 0.4293    , -0.3044   , -0.8503   , -0.09058294  ,         0
1319.json, 0.5994    , -0.3151   , -0.7358   , -0.1586321   ,         0
132.json , 0.5194    , -0.3609   , -0.7746   , 0.2870798    ,         0
1320.json, -0.0926   , 0.2286    , -0.9691   , 0.1634822    ,         0
1321.json, 0.4117    , 0.2341    , -0.8808   , -0.07069004  ,         0
1322.json, 0.417     , -0.4554   , -0.7866   , 0.1242103    ,         0
1323.json, 0.1591    , 0.0007    , -0.9873   , -0.2842583   ,         1
1324.json, 0.8389    , -0.1538   , -0.5221   , -0.17197     ,         0
1325.json, 0.5946    , -0.36     , -0.719    , -0.005575421 ,         0
1326.json, 0.4587    , 0.1162    , -0.881    , 0.06501495   ,         0
1327.json, -0.1789   , 0.0903    , -0.9797   , -0.03040293  ,         0
1328.json, 0.1417    , -0.4168   , -0.8979   , -0.1794962   ,         0
1329.json, -0.7298   , -0.1787   , -0.6599   , -0.06306284  ,         0
133.json , 0.3296    , 0.4985    , -0.8018   , -0.2766885   ,         0
1330.json, -0.0896   , -0.3194   , -0.9434   , -0.1339515   ,         0
